epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,9.999999747378752e-06,0.183916836977005,0.0006756305228918791,0.0010011547710746527,0.16933032870292664,0.0006490659434348345,0.0009939266601577401
1,3.999999989900971e-06,0.16659297049045563,0.0006575606530532241,0.0010077540064230561,0.16314981877803802,0.0006492609973065555,0.0009956646244972944
2,2.4000000848900527e-06,0.16162221133708954,0.0006553485873155296,0.0010085654212161899,0.15938468277454376,0.0006505875498987734,0.0010043979855254292
3,1.9200001588615123e-06,0.15841998159885406,0.0006535699940286577,0.00100940081756562,0.15665026009082794,0.0006499989540316164,0.0010076231556013227
4,1.9200001588615123e-06,0.15576639771461487,0.0006523379706777632,0.0010108939604833722,0.15410353243350983,0.0006466209888458252,0.0010050368728116155
5,1.9200001588615123e-06,0.15325839817523956,0.0006506958743557334,0.001012369990348816,0.15160706639289856,0.0006478874129243195,0.0010138384532183409
6,1.919995384014328e-06,0.15075114369392395,0.0006484717596322298,0.001014395384117961,0.14907151460647583,0.0006427167681977153,0.0010101511143147945
7,1.9199762846255908e-06,0.14833614230155945,0.000646016385871917,0.0010173262562602758,0.1469266563653946,0.0006388635956682265,0.0010090566938742995
8,1.919933311000932e-06,0.14630699157714844,0.0006434020469896495,0.0010188741143792868,0.14516909420490265,0.0006365944282151759,0.001010221429169178
9,1.9198566860723076e-06,0.14471139013767242,0.0006417506956495345,0.0010196608491241932,0.14353658258914948,0.0006371547351591289,0.0010158945806324482
10,9.598685437595122e-07,0.14331886172294617,0.0006403669249266386,0.0010195886716246605,0.14232076704502106,0.0006345079164020717,0.0010115207405760884
11,9.597823691365193e-07,0.1422431766986847,0.0006393707008101046,0.0010197126539424062,0.1417764127254486,0.0006333126220852137,0.0010094060562551022
12,9.596651580068283e-07,0.14161314070224762,0.0006387984612956643,0.0010194798232987523,0.14089863002300262,0.000635240285191685,0.0010162928374484181
13,9.59512135523255e-07,0.14098329842090607,0.0006381867569871247,0.001019305200316012,0.14043505489826202,0.0006325963768176734,0.001010556472465396
14,9.593184131517773e-07,0.1403660625219345,0.0006375680677592754,0.001019180635921657,0.1396816074848175,0.0006337412633001804,0.0010151781607419252
15,9.590793297320488e-07,0.13977140188217163,0.000636936747469008,0.0010189900640398264,0.1392858475446701,0.0006364881410263479,0.0010216807713732123
16,9.58790110416885e-07,0.13920967280864716,0.0006364369764924049,0.0010189093882218003,0.13855387270450592,0.000633425428532064,0.0010170013410970569
17,9.584460940459394e-07,0.1386473923921585,0.0006357569945976138,0.0010185823775827885,0.1381293684244156,0.0006304341368377209,0.0010103007080033422
18,9.580425057720277e-07,0.13810642063617706,0.0006352383643388748,0.00101843208540231,0.13746623694896698,0.00063061568653211,0.0010125834960490465
19,9.575745707479655e-07,0.13757793605327606,0.0006345074507407844,0.0010180816752836108,0.1369185894727707,0.0006299511878751218,0.0010125440312549472
20,4.78518870750122e-07,0.13706529140472412,0.000633732124697417,0.0010175893548876047,0.1364002823829651,0.0006300068343989551,0.0010139234364032745
21,4.782136215908395e-07,0.13662564754486084,0.0006331532495096326,0.001017584465444088,0.13622571527957916,0.000628182664513588,0.0010100358631461859
22,4.778692641593807e-07,0.1363600194454193,0.0006326172151602805,0.001017198315821588,0.136007159948349,0.0006274793995544314,0.0010091005824506283
23,4.774834678755724e-07,0.1360865980386734,0.000632070004940033,0.0010168696753680706,0.13574627041816711,0.000627038418315351,0.0010088211856782436
24,4.77054015846079e-07,0.1358252763748169,0.0006315727368928492,0.0010165569838136435,0.135432630777359,0.0006268158904276788,0.00100943841971457
25,4.765786059124366e-07,0.1355745941400528,0.0006311141769401729,0.0010163219412788749,0.1352214515209198,0.0006261491216719151,0.0010084450477734208
26,4.760549927596003e-07,0.13531862199306488,0.000630660040769726,0.001016081776469946,0.13485081493854523,0.0006275777705013752,0.001013099099509418
27,4.7548098791594384e-07,0.13508257269859314,0.0006301849498413503,0.001015673391520977,0.1346026211977005,0.0006273207254707813,0.0010133947944268584
28,4.748543744881317e-07,0.1348499059677124,0.0006297270301729441,0.001015354529954493,0.13442568480968475,0.000628225039690733,0.0010157140204682946
29,4.7417302084795665e-07,0.1346093714237213,0.0006292853504419327,0.0010151060996577144,0.13433517515659332,0.0006237546913325787,0.001005568541586399
30,2.3671739768360567e-07,0.13434837758541107,0.0006286607822403312,0.0010148410219699144,0.13420674204826355,0.0006226181285455823,0.0010034471051767468
31,2.3631881163055368e-07,0.13413448631763458,0.0006280847010202706,0.0010144434636458755,0.13373979926109314,0.0006246892153285444,0.001010770327411592
32,2.3588971487242816e-07,0.13401460647583008,0.0006278439541347325,0.0010143856052309275,0.1336134821176529,0.0006246858392842114,0.0010111575247719884
33,2.3542909843854432e-07,0.13389739394187927,0.0006275556515902281,0.00101419014390558,0.13359865546226501,0.0006227706326171756,0.0010066675022244453
34,2.349359817799268e-07,0.13378319144248962,0.0006272520404309034,0.0010139020159840584,0.13338574767112732,0.0006239983486011624,0.0010104444809257984
35,2.344094127693097e-07,0.13368363678455353,0.0006269961595535278,0.0010136461351066828,0.13326361775398254,0.0006236853078007698,0.0010102054802700877
36,2.338484392794271e-07,0.1335528939962387,0.0006267692078836262,0.0010136563796550035,0.13330495357513428,0.0006215822068043053,0.001004922902211547
37,2.3325215181557724e-07,0.13343732059001923,0.0006264265975914896,0.0010133220348507166,0.133098766207695,0.0006218558410182595,0.0010065133683383465
38,2.3261965509391302e-07,0.13330264389514923,0.0006260916707105935,0.0010131420567631721,0.13295051455497742,0.0006216434994712472,0.001006778096780181
39,2.3195011067400628e-07,0.13318008184432983,0.0006257967324927449,0.0010129784932360053,0.13280314207077026,0.0006212811567820609,0.001006663078442216
40,1.156213400577144e-07,0.13305862247943878,0.0006254686159081757,0.001012758701108396,0.1326308399438858,0.0006218167836777866,0.001008698483929038
41,1.1524829091058564e-07,0.13295070827007294,0.0006251503364183009,0.0010125207481905818,0.1325705498456955,0.000621860264800489,0.0010090399300679564
42,1.1485552420253953e-07,0.132887601852417,0.0006250345031730831,0.001012552296742797,0.13251808285713196,0.0006217389600351453,0.0010089630959555507
43,1.1444267755678084e-07,0.1328478455543518,0.0006249038851819932,0.0010124336695298553,0.13249117136001587,0.0006223148084245622,0.0010103544918820262
44,1.1400940280736904e-07,0.1327970027923584,0.0006247481214813888,0.0010122900130227208,0.13243147730827332,0.0006213149754330516,0.001008358201943338
45,1.1355538021007305e-07,0.13273859024047852,0.0006245511467568576,0.0010120754595845938,0.1323631852865219,0.0006209028651937842,0.0010078254854306579
46,1.1308030423151649e-07,0.13269272446632385,0.0006244510295800865,0.001012008055113256,0.13231231272220612,0.0006212865700945258,0.0010087384143844247
47,1.1258389065460506e-07,0.13262835144996643,0.0006242669769562781,0.0010118992067873478,0.1322551965713501,0.0006215698667801917,0.0010096688056364655
48,1.1206587657852651e-07,0.13257333636283875,0.000624143227469176,0.0010118280770257115,0.13220080733299255,0.0006203451193869114,0.0010071435244753957
49,1.1152602752417806e-07,0.13251735270023346,0.0006239486974664032,0.0010115886107087135,0.1321607381105423,0.0006201244541443884,0.0010067927651107311
50,1.0000000116860974e-07,0.13245950639247894,0.0006237390334717929,0.0010114016477018595,0.13209985196590424,0.0006199663621373475,0.0010067371185868979
51,9.947356716111244e-08,0.13241077959537506,0.00062360375886783,0.0010113357566297054,0.1320275366306305,0.0006208444247022271,0.0010091295698657632
52,9.892693242363748e-08,0.13236284255981445,0.0006235273904167116,0.0010113600874319673,0.13197974860668182,0.0006203791126608849,0.0010081632062792778
53,9.835996195306507e-08,0.13231681287288666,0.0006233555031940341,0.0010111832525581121,0.1319342702627182,0.0006203159573487937,0.0010082438820973039
54,9.777255627341219e-08,0.1322636902332306,0.0006232282612472773,0.0010111015290021896,0.1319369375705719,0.0006188358529470861,0.0010047662071883678
55,9.716463011955057e-08,0.13220739364624023,0.0006230097496882081,0.0010109165450558066,0.13186360895633698,0.0006192658911459148,0.001006161910481751
56,9.653613375348868e-08,0.13215990364551544,0.0006228961865417659,0.0010108834831044078,0.13180406391620636,0.0006191918510012329,0.00100630649831146
57,9.588703164808976e-08,0.13212168216705322,0.0006227749981917441,0.001010770327411592,0.13176612555980682,0.0006188001134432852,0.001005524885840714
58,9.521731669792644e-08,0.13206781446933746,0.0006226074183359742,0.0010106690460816026,0.13169878721237183,0.0006187559338286519,0.0010058518964797258
59,9.452700311385343e-08,0.13202404975891113,0.0006224234239198267,0.0010104876710101962,0.13166001439094543,0.0006198065239004791,0.0010084470268338919
60,9.381614773928959e-08,0.13197755813598633,0.0006222660886123776,0.00101038021966815,0.1316474974155426,0.0006202143267728388,0.0010094358585774899
61,9.308481452308115e-08,0.1319354772567749,0.000622209336142987,0.0010103625245392323,0.13155637681484222,0.0006190517451614141,0.0010072831064462662
62,9.233310294121111e-08,0.13188010454177856,0.0006220020586624742,0.0010101905791088939,0.13149847090244293,0.0006182507495395839,0.0010057631880044937
63,9.156114799679926e-08,0.13182416558265686,0.0006217873888090253,0.0010100112995132804,0.1314523071050644,0.0006185470265336335,0.0010066286195069551
64,9.076909890382012e-08,0.13177330791950226,0.0006216242327354848,0.0010098700877279043,0.1314539909362793,0.0006171740242280066,0.0010034663137048483
65,8.995714040338498e-08,0.13173580169677734,0.0006214490858837962,0.001009666477330029,0.13139307498931885,0.0006175649468787014,0.0010046047391369939
66,8.912547855288722e-08,0.13170112669467926,0.0006212810985744,0.0010094578610733151,0.13131006062030792,0.0006177551113069057,0.0010054727317765355
67,8.827435493685698e-08,0.13165117800235748,0.0006210688734427094,0.0010091712465509772,0.13126368820667267,0.0006180195487104356,0.0010063499212265015
68,8.740403956153386e-08,0.13159671425819397,0.0006208910490386188,0.00100907392334193,0.1312694549560547,0.0006187399267219007,0.0010078775230795145
69,8.651482374943953e-08,0.13157112896442413,0.0006208590930327773,0.0010090905707329512,0.1312188059091568,0.0006181613425724208,0.0010068312985822558
70,8.560703435023242e-08,0.13151419162750244,0.0006206375546753407,0.0010088718263432384,0.13119061291217804,0.0006186608225107193,0.0010079930070787668
71,8.468101952985307e-08,0.13148212432861328,0.0006205419194884598,0.0010087888222187757,0.13112670183181763,0.0006179212359711528,0.0010066210525110364
72,8.373715587595143e-08,0.13144747912883759,0.0006203142693266273,0.001008496736176312,0.1310911476612091,0.0006178320036269724,0.0010067186085507274
73,8.277585550331423e-08,0.13140691816806793,0.0006201831856742501,0.001008434221148491,0.13104937970638275,0.0006170401466079056,0.0010051304707303643
74,8.179754473758294e-08,0.13136568665504456,0.0006201253272593021,0.0010084951063618064,0.13099882006645203,0.0006168241379782557,0.001004879712127149
75,8.080268543153579e-08,0.1313174068927765,0.0006199624040164053,0.0010083564557135105,0.13094335794448853,0.0006166842649690807,0.0010048776166513562
76,7.979176785966047e-08,0.1312682181596756,0.0006197877810336649,0.0010081586660817266,0.13090242445468903,0.000616443925537169,0.0010045672534033656
77,7.876529650729935e-08,0.13123272359371185,0.0006196591421030462,0.0010081194341182709,0.13086117804050446,0.0006160534685477614,0.0010038955369964242
78,7.772381849235899e-08,0.13118331134319305,0.000619485741481185,0.0010080055799335241,0.13080334663391113,0.0006165996310301125,0.0010054119629785419
79,7.666788803817326e-08,0.13113461434841156,0.000619406346231699,0.0010080760112032294,0.13080787658691406,0.0006155338487587869,0.0010029803961515427
80,7.559809489521285e-08,0.1311119943857193,0.0006192854489199817,0.0010079205967485905,0.13076137006282806,0.0006157699390314519,0.0010037465253844857
81,7.451505013023052e-08,0.13106906414031982,0.0006191090797074139,0.0010077438782900572,0.13069917261600494,0.0006156415329314768,0.0010037717875093222
82,7.341937902083373e-08,0.13102172315120697,0.0006189074483700097,0.001007560407742858,0.13065730035305023,0.00061607058160007,0.001004979363642633
83,7.231174237176674e-08,0.13098086416721344,0.0006187867256812751,0.0010074761230498552,0.13062679767608643,0.0006154972361400723,0.001003806246444583
84,7.119280809320117e-08,0.13095329701900482,0.00061864621238783,0.0010072910226881504,0.13060128688812256,0.0006156880990602076,0.0010043212678283453
85,7.006327251701805e-08,0.13092820346355438,0.0006186107057146728,0.0010072634322568774,0.13057690858840942,0.0006147422245703638,0.0010023160139098763
86,6.892384618595315e-08,0.13088418543338776,0.0006184556987136602,0.0010072012664750218,0.13056521117687225,0.0006164160440675914,0.0010062693618237972
87,6.777526095902431e-08,0.13085077702999115,0.0006183627992868423,0.0010071126744151115,0.13051137328147888,0.000615602417383343,0.0010046024108305573
88,6.661825580067671e-08,0.13081948459148407,0.0006182273500598967,0.0010070197749882936,0.13047461211681366,0.0006155197625048459,0.0010046974057331681
89,6.545359809706497e-08,0.1307886689901352,0.0006181384087540209,0.0010069936979562044,0.13043949007987976,0.0006148362881503999,0.00100321089848876
90,6.428206233977107e-08,0.13076655566692352,0.0006179999327287078,0.0010067758848890662,0.13039402663707733,0.0006151310517452657,0.0010042139329016209
91,6.310443012580436e-08,0.13072873651981354,0.0006178806070238352,0.001006723497994244,0.13037091493606567,0.000615145021583885,0.0010043784277513623
92,6.192149726302887e-08,0.13070741295814514,0.0006177884060889482,0.0010065902024507523,0.13033407926559448,0.0006148375105112791,0.0010038323234766722
93,6.073407377016338e-08,0.1306764781475067,0.0006176590686663985,0.0010064872913062572,0.13032488524913788,0.0006139776087366045,0.0010018817847594619
94,5.9542980324067685e-08,0.13063408434391022,0.0006175321177579463,0.0010064014932140708,0.1302756816148758,0.0006144855287857354,0.001003346755169332
95,5.8349034048887916e-08,0.13060744106769562,0.0006174262962304056,0.0010063016088679433,0.13023866713047028,0.0006142767379060388,0.0010030962293967605
96,5.715306272691123e-08,0.1305837333202362,0.0006173457368277013,0.001006208243779838,0.1302371621131897,0.0006144951330497861,0.0010034345323219895
97,5.5955901245852147e-08,0.13055187463760376,0.000617272628005594,0.0010061666835099459,0.13022302091121674,0.000614338438026607,0.0010031616548076272
98,5.4758380940711504e-08,0.13053473830223083,0.0006171686691232026,0.0010060318745672703,0.13019900023937225,0.0006139505421742797,0.001002378761768341
99,5.356133669920382e-08,0.130514994263649,0.0006171256536617875,0.0010060222120955586,0.13017062842845917,0.0006143530481494963,0.001003478653728962
100,5.2365606961757294e-08,0.13048847019672394,0.0006170683191157877,0.0010060016065835953,0.13014347851276398,0.0006137645104900002,0.0010023294016718864
101,5.1172019510659084e-08,0.13046397268772125,0.000616985431406647,0.0010059945052489638,0.13011351227760315,0.000613689364399761,0.0010023333597928286
102,4.998140212819635e-08,0.13044415414333344,0.0006168569670990109,0.001005836995318532,0.13010232150554657,0.0006133231217972934,0.001001516473479569
103,4.8794579043942576e-08,0.13042178750038147,0.0006168250110931695,0.0010059218620881438,0.13005508482456207,0.0006134127615951002,0.001002097618766129
104,4.7612363829330206e-08,0.13039785623550415,0.0006166364182718098,0.0010056371102109551,0.13004860281944275,0.0006135170115157962,0.0010023493086919188
105,4.643556295036433e-08,0.13038447499275208,0.0006166556850075722,0.0010057262843474746,0.13002954423427582,0.0006137524615041912,0.0010028874967247248
106,4.526497576762267e-08,0.13036133348941803,0.0006165780359879136,0.0010056530591100454,0.13002432882785797,0.0006128764944151044,0.00100092520006001
107,4.4101387430828254e-08,0.1303483247756958,0.000616552191786468,0.001005649915896356,0.1300182044506073,0.0006144504295662045,0.0010045238304883242
108,4.294556887884937e-08,0.13032931089401245,0.0006164828664623201,0.0010056117316707969,0.12997567653656006,0.0006139256292954087,0.001003588899038732
109,4.179828039241329e-08,0.13030453026294708,0.0006164312944747508,0.0010055856546387076,0.12995225191116333,0.0006129209650680423,0.0010014456929638982
110,4.06602609359652e-08,0.13028952479362488,0.0006163619109429419,0.001005510683171451,0.12994404137134552,0.0006134142749942839,0.0010025770170614123
111,3.953223881580925e-08,0.13027316331863403,0.0006163333309814334,0.0010055296588689089,0.12992721796035767,0.0006135153817012906,0.0010028998367488384
112,3.841491746925385e-08,0.13025309145450592,0.0006162739009596407,0.0010054470039904118,0.1299256980419159,0.0006125535583123565,0.0010006974916905165
113,3.7308986122752685e-08,0.1302383840084076,0.0006162335630506277,0.00100542395375669,0.12989114224910736,0.000612734816968441,0.0010013218270614743
114,3.621510558105001e-08,0.130220428109169,0.0006161962519399822,0.0010054331505671144,0.1298905313014984,0.0006128281238488853,0.0010015094885602593
115,3.513392243803537e-08,0.1302059441804886,0.0006161511992104352,0.001005418598651886,0.12987251579761505,0.0006125340587459505,0.0010009456891566515
116,3.406605841860255e-08,0.13019044697284698,0.0006160670309327543,0.0010053232545033097,0.1298537701368332,0.0006125268409959972,0.0010009905090555549
117,3.3012106825935916e-08,0.13017597794532776,0.0006160263437777758,0.0010052775032818317,0.12985725700855255,0.0006124988431110978,0.0010008708341047168
118,3.197263609422407e-08,0.13016468286514282,0.0006159672047942877,0.0010052163852378726,0.12983310222625732,0.0006127755623310804,0.001001715543679893
119,3.094819334137355e-08,0.13015179336071014,0.0006158662727102637,0.0010051396675407887,0.12983591854572296,0.0006123168277554214,0.0010006757220253348
120,2.993929371086779e-08,0.1301332265138626,0.0006158174946904182,0.0010051425779238343,0.12982629239559174,0.0006121436599642038,0.0010003173956647515
121,2.8946427477194447e-08,0.13012662529945374,0.0006158369360491633,0.0010051842546090484,0.12981300055980682,0.0006122301565483212,0.0010006014490500093
122,2.797005471677494e-08,0.13011497259140015,0.0006157890311442316,0.0010051075369119644,0.12979458272457123,0.0006124162464402616,0.0010010593105107546
123,2.7010607084321236e-08,0.13010674715042114,0.0006157539901323617,0.0010050665587186813,0.12980152666568756,0.0006119114113971591,0.0009998757159337401
124,2.6068486036479044e-08,0.13009439408779144,0.000615719414781779,0.0010050676064565778,0.12976230680942535,0.0006121788173913956,0.0010007424280047417
125,2.5144064608184635e-08,0.1300819367170334,0.0006156096351332963,0.0010048997355625033,0.12976324558258057,0.0006120020407252014,0.001000341260805726
126,2.4237683859951176e-08,0.13007695972919464,0.0006156467134132981,0.001004996127448976,0.1297455132007599,0.0006120788166299462,0.0010005678050220013
127,2.334965287786872e-08,0.13006629049777985,0.0006155854789540172,0.0010049192933365703,0.12975484132766724,0.0006116972072049975,0.0009996299631893635
128,2.2480254102674735e-08,0.13006049394607544,0.0006155318114906549,0.001004819176159799,0.12971358001232147,0.0006124525098130107,0.0010015637381002307
129,2.1629736224326734e-08,0.13004742562770844,0.0006154878647066653,0.0010048397816717625,0.12971147894859314,0.0006122224149294198,0.0010010836413130164
130,2.0798317734715965e-08,0.130037322640419,0.0006154417060315609,0.0010047652758657932,0.1296946406364441,0.0006121952901594341,0.0010011153062805533
131,1.9986185151310565e-08,0.1300297975540161,0.0006153726717457175,0.0010046696988865733,0.12969878315925598,0.0006118645542301238,0.0010003485949710011
132,1.91934947935124e-08,0.13000614941120148,0.000615293683949858,0.001004595891572535,0.12966981530189514,0.0006117502925917506,0.0010002353228628635
133,1.842037278265707e-08,0.12999176979064941,0.0006152812857180834,0.0010046582901850343,0.12966758012771606,0.0006117813754826784,0.0010003404458984733
134,1.7666915042013898e-08,0.12998464703559875,0.0006152699934318662,0.0010046844836324453,0.1296655237674713,0.0006118165329098701,0.0010003752540796995
135,1.6933187296785945e-08,0.1299799531698227,0.000615275523159653,0.0010047109099105,0.12966327369213104,0.000612023111898452,0.0010008926037698984
136,1.621922685046684e-08,0.12997207045555115,0.000615253928117454,0.0010047117248177528,0.12964579463005066,0.0006117817247286439,0.0010004540672525764
137,1.5525040808483936e-08,0.12995828688144684,0.0006152085261419415,0.0010046805255115032,0.12964469194412231,0.0006117753218859434,0.0010004471987485886
138,1.4850608742733584e-08,0.12996026873588562,0.0006152359419502318,0.0010047329124063253,0.12965057790279388,0.0006117072189226747,0.0010002305498346686
139,1.4195882691581119e-08,0.1299554854631424,0.0006152107380330563,0.0010046869283542037,0.129630446434021,0.0006117796874605119,0.0010005247313529253
140,1.3560788936217705e-08,0.12994834780693054,0.0006151879206299782,0.001004694146104157,0.129622682929039,0.0006117568118497729,0.0010004964424297214
141,1.2945225336125077e-08,0.1299484372138977,0.0006150961853563786,0.0010044496739283204,0.1296166330575943,0.0006118429591879249,0.0010007108794525266
142,1.2349066658146057e-08,0.12994244694709778,0.0006150734261609614,0.0010044572409242392,0.12962989509105682,0.0006116374861449003,0.0010002063354477286
143,1.1772161911949297e-08,0.12993593513965607,0.0006150745321065187,0.0010045022936537862,0.12961231172084808,0.0006119637400843203,0.0010010453406721354
144,1.1214337902742955e-08,0.12992945313453674,0.000615088501945138,0.001004567020572722,0.1296217292547226,0.0006115679861977696,0.0010000377660617232
145,1.0675398343096276e-08,0.12992487847805023,0.000615057535469532,0.0010045163799077272,0.12960967421531677,0.0006118269520811737,0.001000698423013091
146,1.0155125629296435e-08,0.12992236018180847,0.0006150571280159056,0.0010045398958027363,0.12960375845432281,0.0006116628064773977,0.001000373624265194
147,9.653281729526952e-09,0.1299135535955429,0.0006150151020847261,0.0010045113740488887,0.1296011507511139,0.0006115023279562593,0.0010000045876950026
148,9.169610848402954e-09,0.12990492582321167,0.0006149901309981942,0.0010045254603028297,0.12960195541381836,0.0006115285796113312,0.0010000872425734997
149,8.703836762435913e-09,0.12990570068359375,0.0006149738328531384,0.0010044678347185254,0.12958964705467224,0.000611791096162051,0.001000724034383893
